Word_ID	Form	Cognate_set_ID	Segments	Alignment	Doubt	Cognate_detection_method	Cognate_source	Alignment_method	Alignment_source
148	vɔ³⁵	723	v ɔ ³⁵	v ɔ ³⁵		expert	Hill2017	LingPy:SCA	
4245	mjɔ̱̃⁵⁵	181	m j ɔ̰̃ ∼ ⁵⁵	m j ɔ̰̃ ∼ ⁵⁵		expert	Hill2017	LingPy:SCA	
4121	ʂa³¹	684	ʂ a ³¹	ʂ a ³¹		expert	Hill2017	LingPy:SCA	
4248	mja̱ːŋ³³	181	m j a̰ː ŋ ³³	m j a̰ː ŋ ³³		expert	Hill2017	LingPy:SCA	
4249	mjɔ̃³¹	181	m j ɔ̃ ∼ ³¹	m j ɔ̃ ∼ ³¹		expert	Hill2017	LingPy:SCA	
4251	m̥ʐaŋ⁵⁵	181	m̥ ʐ a ŋ ⁵⁵	m̥ ʐ a ŋ ⁵⁵		expert	Hill2017	LingPy:SCA	
4255	tɕhe⁵⁵	83	tɕʰ e ⁵⁵	tɕʰ e - ⁵⁵		expert	Hill2017	LingPy:SCA	
4258	tshe⁵¹	83	tsʰ e ⁵¹	tsʰ e - ⁵¹		expert	Hill2017	LingPy:SCA	
4260	tă³¹thai⁵⁵	44	t ă ³¹ + tʰ a i ⁵⁵	t ă - ³¹ + tʰ a i ⁵⁵		expert	Hill2017	LingPy:SCA	
4263	tă³¹tshe³³	44	t ă ³¹ + tsʰ e ³³	t ă - ³¹ + tsʰ e - ³³		expert	Hill2017	LingPy:SCA	
4264	tshɛ³¹	387	tsʰ ɛ ³¹	tsʰ ɛ - ³¹		expert	Hill2017	LingPy:SCA	
4266	ta³¹tshi⁵⁵	44	t a ³¹ + tsʰ i ⁵⁵	t a - ³¹ + tsʰ i - ⁵⁵		expert	Hill2017	LingPy:SCA	
2078	jɔ̃³¹lɔ̃⁵⁵	528	j ɔ̃ ∼ ³¹ + l ɔ̃ ∼ ⁵⁵	j ɔ̃ ∼ ³¹ + l ɔ̃ ∼ ⁵⁵		expert	Hill2017	LingPy:SCA	
3143	tun³¹	177	t u n ³¹	t u n ³¹		expert	Hill2017	LingPy:SCA	
4283	xu⁵¹	512	x u ⁵¹	x - u ⁵¹		expert	Hill2017	LingPy:SCA	
2052	ja⁵⁵	463	j a ⁵⁵	j a ⁵⁵		expert	Hill2017	LingPy:SCA	
4290	the⁵⁵	718	tʰ e ⁵⁵	tʰ e ⁵⁵		expert	Hill2017	LingPy:SCA	
4291	xje⁵¹	512	x j e ⁵¹	x j e ⁵¹		expert	Hill2017	LingPy:SCA	
4292	thə³³	718	tʰ ə ³³	tʰ ə ³³		expert	Hill2017	LingPy:SCA	
4293	thø³¹	718	tʰ ø ³¹	tʰ ø ³¹		expert	Hill2017	LingPy:SCA	
4294	thɛ⁵⁵	718	tʰ ɛ ⁵⁵	tʰ ɛ ⁵⁵		expert	Hill2017	LingPy:SCA	
