ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source
5318,5318,1150,,,
1569,1569,6,,,
5322,5322,922,,,
5326,5326,144,,,
5327,5327,727,,,
1132,1132,700,,,
5330,5330,813,,,
5667,5667,1037,,,
5332,5332,976,,,
2254,2254,806,,,
5334,5334,6,,,
5337,5337,354,,,
5339,5339,1140,,,
1244,1244,473,,,
5342,5342,51,,,
1247,1247,473,,,
1248,1248,473,,,
1249,1249,473,,,
5347,5347,346,,,
5353,5353,1177,,,
5355,5355,619,,,
893,893,670,,,
5360,5360,443,,,
5361,5361,523,,,
5363,5363,0,,,
5365,5365,44,,,
5367,5367,1147,,,
5368,5368,1130,,,
1273,1273,229,,,
4991,4991,1083,,,
5372,5372,567,,,
1277,1277,1161,,,
1280,1280,193,,,
4992,4992,1083,,,
1283,1283,193,,,
5381,5381,1046,,,
5382,5382,1105,,,
5386,5386,209,,,
4994,4994,29,,,
5677,5677,28,,,
2498,2498,300,,,
1298,1298,194,,,
1299,1299,194,,,
1301,1301,194,,,
5398,5398,34,,,
1303,1303,194,,,
5400,5400,452,,,
5401,5401,254,,,
5404,5404,1112,,,
2266,2266,274,,,
5406,5406,171,,,
5415,5415,1065,,,
5416,5416,329,,,
6364,6364,19,,,
5418,5418,1165,,,
5419,5419,274,,,
5422,5422,798,,,
2269,2269,274,,,
5424,5424,11,,,
5425,5425,272,,,
5427,5427,1159,,,
5428,5428,1090,,,
5429,5429,1090,,,
5430,5430,519,,,
5437,5437,30,,,
5438,5438,22,,,
5441,5441,1157,,,
5447,5447,859,,,
1352,1352,232,,,
5451,5451,1146,,,
5452,5452,441,,,
5453,5453,582,,,
5457,5457,307,,,
5459,5459,287,,,
1364,1364,717,,,
1365,1365,717,,,
1366,1366,717,,,
5466,5466,249,,,
5469,5469,495,,,
5470,5470,793,,,
5472,5472,506,,,
5476,5476,500,,,
5478,5478,1003,,,
5482,5482,925,,,
5483,5483,806,,,
5489,5489,8,,,
1394,1394,206,,,
5491,5491,1178,,,
