ID	Language_name	Language_ID	Parameter_name	Parameter_ID	Value	Form	Segments	Motivation_structure	Source	Comment
6287	Achang_Longchuan	long1373	the sheep	1331	paʔ⁵⁵	paʔ⁵⁵	p a ʔ ⁵⁵	goat-sheep-2	Huang1992,Matisoff2015	
6288	Achang_Longchuan	long1373	the goat	1502	paʔ⁵⁵	paʔ⁵⁵	p a ʔ ⁵⁵	goat-sheep-2	Huang1992,Matisoff2015	
2194	Xiandao	xian1249	to kill	1417	sat⁵⁵ phut⁵⁵  | 1602.29	sat⁵⁵phut⁵⁵	s a t ⁵⁵ + pʰ u t ⁵⁵	kill	Huang1992,Matisoff2015	bad concept
6291	Atsi	zaiw1240	round	1395	liŋ⁵⁵	liŋ⁵⁵	l i ŋ ⁵⁵	round	Huang1992,Matisoff2015	
6292	Atsi	zaiw1240	the thunder	1150	mau²¹mjiŋ⁵¹	mau²¹mjiŋ⁵¹	m a u ²¹ + m j i ŋ ⁵¹	sky-rain thunder	Huang1992,Matisoff2015	
6293	Lashi	lash1242	the mud	640	thɔm⁵⁵pɔp³¹	tʰɔm⁵⁵pɔp³¹	tʰ ɔ m ⁵⁵ + p ɔ p ³¹		Huang1992,Matisoff2015	
6294	Atsi	zaiw1240	the rainbow	1733	voʔ²¹kan²¹ʃiŋ⁵⁵jaŋ²¹	voʔ²¹kan²¹ʃiŋ⁵⁵jaŋ²¹	v o ʔ ²¹ + k a n ²¹ + ʃ i ŋ ⁵⁵ + j a ŋ ²¹	weave ? ? ?	Huang1992,Matisoff2015	
6295	Rangoon	nucl1310	the lung	688	a⁵³shoʔ⁴	a⁵³shoʔ⁴	a ⁵³ + sʰ o ʔ ⁴		Huang1992,Matisoff2015	
2200	Atsi	zaiw1240	the knee	1371	khji⁵¹ phut⁵⁵  | 0101.30	khji⁵¹phut⁵⁵	kʰ j i ⁵¹ + pʰ u t ⁵⁵	foot knee	Huang1992,Matisoff2015	
6297	Atsi	zaiw1240	the frost	2034	ŋa̱n⁵¹phju⁵¹	ŋa̱n⁵¹pʰju⁵¹	ŋ a̰ n ⁵¹ + pʰ j u ⁵¹	cold-thing white	Huang1992,Matisoff2015	
6298	Atsi	zaiw1240	the dew	1977	ŋa̱n⁵¹	ŋa̱n⁵¹	ŋ a̰ n ⁵¹	cold-thing	Huang1992,Matisoff2015	
4463	Xiandao	xian1249	to think (reflect)	1415	tak⁵⁵  | 1726.29	tak⁵⁵	t a k ⁵⁵		Huang1992,Matisoff2015	
6300	Bola	pela1242	to cry (weep)	1420	ŋau⁵⁵	ŋau⁵⁵	ŋ a u ⁵⁵	cry	Huang1992,Matisoff2015	
2205	Lashi	lash1242	the knee	1371	pɔ̱t⁵³ luʔ³¹  | 0101.33	pɔ̱t⁵³luʔ³¹	p ɔ̰ t ⁵³ + l u ʔ ³¹	knee-1 knee-2	Huang1992,Matisoff2015	
6302	Bola	pela1242	horizontal	2376	pi̱⁵⁵	pi̱⁵⁵	p ḭ ⁵⁵	horizontal	Huang1992,Matisoff2015	
2207	Maru	maru1249	the knee	1371	pa̱t⁵⁵ lauk³¹  | 0101.31	pa̱t⁵⁵lauk³¹	p a̰ t ⁵⁵ + l a u k ³¹		Huang1992,Matisoff2015	
6304	Atsi	zaiw1240	dark	706	noʔ²¹	noʔ²¹	n o ʔ ²¹	black	Huang1992,Matisoff2015	
2209	Xiandao	xian1249	the knee	1371	phɔʔ³¹ tʂhɯk⁵⁵  | 0101.29	phɔʔ³¹tʂhɯk⁵⁵	pʰ ɔ ʔ ³¹ + ʈʂʰ ɯ k ⁵⁵	knee joint	Huang1992,Matisoff2015	
6307	Atsi	zaiw1240	early	672	noʔ²¹	noʔ²¹	n o ʔ ²¹	early	Huang1992,Matisoff2015	
6308	Xiandao	xian1249	the stick	1295	tam⁵⁵	tam⁵⁵	t a m ⁵⁵	pestle	Huang1992,Matisoff2015	
6314	Lashi	lash1242	middle	1093	a³¹kuŋ³¹	a³¹kuŋ³¹	a ³¹ + k u ŋ ³¹	a-prefix middle1	Huang1992,Matisoff2015	
6315	Lashi	lash1242	middle	1093	a³¹kjo³³	a³¹kjo³³	a ³¹ + k j o ³³	a-prefix middle2	Huang1992,Matisoff2015	
6316	Achang_Longchuan	long1373	shy	487	ȵɔʔ³¹sɔʔ⁵⁵	ȵɔʔ³¹sɔʔ⁵⁵	nʲ ɔ ʔ ³¹ + s ɔ ʔ ⁵⁵	face shy	Huang1992,Matisoff2015	
6317	Maru	maru1249	morning	1339	nɛʔ³¹sum³¹	nɛʔ³¹sum³¹	n ɛ ʔ ³¹ + s u m ³¹	morning-1 morning-2	Huang1992,Matisoff2015	
6318	Lashi	lash1242	right	1019	lɔʔ³¹jo³¹	lɔʔ³¹jo³¹	l ɔ ʔ ³¹ + j o ³¹	hand right	Huang1992,Matisoff2015	
3101	Atsi	zaiw1240	to pull	1455	ʃe⁵¹  | 1568.30	ʃe⁵¹	ʃ e ⁵¹	pull	Huang1992,Matisoff2015	
6320	Maru	maru1249	the daughter	1357	mji³⁵ɣɛ³⁵tsɔ³⁵	mji³⁵ɣɛ³⁵ʦɔ³⁵	m j i ³⁵ + ɣ ɛ ³⁵ + ts ɔ ³⁵	woman-1 woman-2 child	Huang1992,Matisoff2015	
4984	Achang_Longchuan	long1373	where	1237	xoi⁵⁵ thɔʔ⁵⁵  | 0955.28	xoi⁵⁵thɔʔ⁵⁵	x o i ⁵⁵ + tʰ ɔ ʔ ⁵⁵	where dir2	Huang1992,Matisoff2015	
6322	Lashi	lash1242	inside	1606	a³³khou³³	a³³kʰou³³	a ³³ + kʰ o u ³³	a-prefix inside	Huang1992,Matisoff2015	
6323	Bola	pela1242	the frost	2034	ŋɛ̱̃⁵⁵	ŋɛ̱̃⁵⁵	ŋ ɛ̰̃ ∼ ⁵⁵	icy-thing	Huang1992,Matisoff2015	
6324	Atsi	zaiw1240	above	1741	thoʔ⁵⁵mai²¹	tʰoʔ⁵⁵mai²¹	tʰ o ʔ ⁵⁵ + m a i ²¹	over on	Huang1992,Matisoff2015	
6325	Achang_Longchuan	long1373	the sparrow	1854	tsi⁵⁵tʂuak⁵⁵	ʦi⁵⁵ʈʂuak⁵⁵	ts i ⁵⁵ + ʈʂ u a k ⁵⁵		Huang1992,Matisoff2015	
6326	Atsi	zaiw1240	below, under	1485	o̱⁵¹mai²¹	o̱⁵¹mai²¹	o̰ ⁵¹ + m a i ²¹	under on	Huang1992,Matisoff2015	
6327	Xiandao	xian1249	to plant (vegetals, rice)	1486	sɔ³¹	sɔ³¹	s ɔ ³¹	plant-v	Huang1992,Matisoff2015	
2232	Atsi	zaiw1240	the lake	624	noŋ⁵⁵  | 0031.30	noŋ⁵⁵	n o ŋ ⁵⁵	lake	Huang1992,Matisoff2015	
6516	Bola	pela1242	yesterday	1174	a³¹ŋji³⁵nɛʔ³¹	a³¹ŋji³⁵nɛʔ³¹	a ³¹ + ŋ j i ³⁵ + n ɛ ʔ ³¹	a-prefix day-1 day-2	Huang1992,Matisoff2015	
2234	Bola	pela1242	the lake	624	nɔ̱ŋ⁵⁵  | 0031.32	nɔ̱ŋ⁵⁵	n ɔ̰ ŋ ⁵⁵	lake	Huang1992,Matisoff2015	
3103	Lashi	lash1242	to pull	1455	ʃɛ̱³³  | 1568.33	ʃɛ̱³³	ʃ ɛ̰ ³³		Huang1992,Matisoff2015	
6332	Xiandao	xian1249	the sickle	341	ʐɯt⁵⁵mɔ³¹	ʐɯt⁵⁵mɔ³¹	ʐ ɯ t ⁵⁵ + m ɔ ³¹	mow-cut mo-suffix	Huang1992,Matisoff2015	
6333	Lashi	lash1242	today	1283	khə̆⁵⁵ŋjei⁵⁵	kʰə̆⁵⁵ŋjei⁵⁵	kʰ ə̆ ⁵⁵ + ŋ j e i ⁵⁵	today day	Huang1992,Matisoff2015	
2393	Achang_Longchuan	long1373	light (of weight)	1052	ʑaŋ⁵⁵  | 1015.28	ʑaŋ⁵⁵	ʑ a ŋ ⁵⁵	light	Huang1992,Matisoff2015	
6335	Achang_Longchuan	long1373	the nit	267	ʂan³¹uʔ³¹	ʂan³¹uʔ³¹	ʂ a n ³¹ + u ʔ ³¹	louse egg	Huang1992,Matisoff2015	
6336	Atsi	zaiw1240	young	1207	a²¹sak²¹ti̱ʔ⁵⁵	a²¹sak²¹ti̱ʔ⁵⁵	a ²¹ + s a k ²¹ + t ḭ ʔ ⁵⁵	a-prefix age small	Huang1992,Matisoff2015	means 'small in age'
6337	Lashi	lash1242	tomorrow	1329	nap³¹jɔ³¹ŋjei⁵⁵	nap³¹jɔ³¹ŋjei⁵⁵	n a p ³¹ + j ɔ ³¹ + ŋ j e i ⁵⁵	not-today ??? day	Huang1992,Matisoff2015	
6338	Achang_Longchuan	long1373	the mosquito	1509	phɔp⁵⁵	pʰɔp⁵⁵	pʰ ɔ p ⁵⁵	mosquito	Huang1992,Matisoff2015	
2197	Achang_Longchuan	long1373	the knee	1371	tɕhi⁵⁵ ȵɔʔ⁵⁵  | 0101.28	tɕhi⁵⁵ȵɔʔ⁵⁵	tɕʰ i ⁵⁵ + nʲ ɔ ʔ ⁵⁵	foot knee	Huang1992,Matisoff2015	
6340	Achang_Longchuan	long1373	the flea	232	l̥i³¹	l̥i³¹	l̥ i ³¹	flea	Huang1992,Matisoff2015	
6341	Atsi	zaiw1240	the lip (the lips)	478	nu̱t⁵⁵ku̱ʔ⁵⁵	nu̱t⁵⁵ku̱ʔ⁵⁵	n ṵ t ⁵⁵ + k ṵ ʔ ⁵⁵	mouth skin	Huang1992,Matisoff2015	
6342	Lashi	lash1242	noon	12	ŋjei⁵⁵kuŋ³¹	ŋjei⁵⁵kuŋ³¹	ŋ j e i ⁵⁵ + k u ŋ ³¹	day middle	Huang1992,Matisoff2015	
6343	Lashi	lash1242	yesterday	1174	a³¹ŋjei⁵⁵nap³¹	a³¹ŋjei⁵⁵nap³¹	a ³¹ + ŋ j e i ⁵⁵ + n a p ³¹	a-prefix day not-today	Huang1992,Matisoff2015	
6344	Atsi	zaiw1240	the shoulder	1482	koʔ²¹san⁵¹	koʔ²¹san⁵¹	k o ʔ ²¹ + s a n ⁵¹	split? ?	Huang1992,Matisoff2015	
6345	Atsi	zaiw1240	the armpit	1886	kă²¹tʃo̱k⁵⁵khoŋ²¹	kă²¹tʃo̱k⁵⁵kʰoŋ²¹	k ă ²¹ + tʃ o̰ k ⁵⁵ + kʰ o ŋ ²¹	? ? ?	Huang1992,Matisoff2015	
6346	Bola	pela1242	firewood	10	thɔ̃³⁵	tʰɔ̃³⁵	tʰ ɔ̃ ∼ ³⁵	firewood	Huang1992,Matisoff2015	
2423	Atsi	zaiw1240	the liver	1224	siŋ²¹  | 0145.30	siŋ²¹	s i ŋ ²¹	liver	Huang1992,Matisoff2015	
6348	Maru	maru1249	I [first person singular]	1209	ŋɔ³¹	ŋɔ³¹	ŋ ɔ ³¹	me	Huang1992,Matisoff2015	
6350	Atsi	zaiw1240	the thigh	800	ta̱ŋ²¹pau⁵⁵	ta̱ŋ²¹pau⁵⁵	t a̰ ŋ ²¹ + p a u ⁵⁵	thigh-1 thigh-2	Huang1992,Matisoff2015	
6351	Maru	maru1249	the sheep	1331	tʃhat⁵⁵pɛ̱ʔ⁵⁵	tʃhat⁵⁵pɛ̱ʔ⁵⁵	tʃʰ a t ⁵⁵ + p ɛ̰ ʔ ⁵⁵	goat-sheep-1 goat-sheep-2	Huang1992,Matisoff2015	
6352	Maru	maru1249	the goat	1502	tʃhat⁵⁵pɛ̱ʔ⁵⁵	tʃhat⁵⁵pɛ̱ʔ⁵⁵	tʃʰ a t ⁵⁵ + p ɛ̰ ʔ ⁵⁵	goat-sheep-1 goat-sheep-2	Huang1992,Matisoff2015	
6353	Atsi	zaiw1240	to be alive	1422	tui⁵¹e⁵⁵	tui⁵¹e⁵⁵	t u i ⁵¹ e ⁵⁵		Huang1992,Matisoff2015	
2258	Lashi	lash1242	to laugh	1355	jiː³¹  | 1735.33	jiː³¹	j iː ³¹	laugh-smile	Huang1992,Matisoff2015	
2261	Maru	maru1249	to laugh	1355	ɣə³¹  | 1735.31	ɣə³¹	ɣ ə ³¹	laugh-smile	Huang1992,Matisoff2015	
6361	Rangoon	nucl1310	right	1019	ȵɑ²²	ȵɑ²²	nʲ ɑ ²²		Huang1992,Matisoff2015	
6362	Atsi	zaiw1240	hot	1286	ŋje⁵⁵	ŋje⁵⁵	ŋ j e ⁵⁵	hot-burn	Huang1992,Matisoff2015	
6363	Atsi	zaiw1240	the skin	763	ʃŏ²¹ku̱ʔ⁵⁵	ʃŏ²¹ku̱ʔ⁵⁵	ʃ ŏ ²¹ + k ṵ ʔ ⁵⁵	meat skin	Huang1992,Matisoff2015	
2268	Atsi	zaiw1240	the leaf	2250	a²¹ xaʔ⁵⁵  | 0376.30	a²¹xaʔ⁵⁵	a ²¹ + x a ʔ ⁵⁵	a-prefix leaf	Huang1992,Matisoff2015	
2426	Bola	pela1242	the liver	1224	saŋ³⁵  | 0145.32	saŋ³⁵	s a ŋ ³⁵	liver	Huang1992,Matisoff2015	
6367	Maru	maru1249	the lip (the lips)	478	na̱t⁵⁵ka̱uk⁵⁵	na̱t⁵⁵ka̱uk⁵⁵	n a̰ t ⁵⁵ + k a̰ u k ⁵⁵	mouth skin?	Huang1992,Matisoff2015	
2272	Lashi	lash1242	the leaf	2250	a³¹ fu̱ʔ⁵⁵  | 0376.33	a³¹fu̱ʔ⁵⁵	a ³¹ + f ṵ ʔ ⁵⁵	a-prefix leaf	Huang1992,Matisoff2015	
2273	Maru	maru1249	the leaf	2250	phɔʔ⁵⁵  | 0376.31	phɔʔ⁵⁵	pʰ ɔ ʔ ⁵⁵	leaf	Huang1992,Matisoff2015	
6371	Maru	maru1249	the tiger	846	lɔ³⁵	lɔ³⁵	l ɔ ³⁵		Huang1992,Matisoff2015	
6372	Rangoon	nucl1310	the hoof	152	khwɑ²²	kʰwɑ²²	kʰ w ɑ ²²		Huang1992,Matisoff2015	
6375	Rangoon	nucl1310	hard	1884	mɑ²²	mɑ²²	m ɑ ²²	hard	Huang1992,Matisoff2015	
6376	Atsi	zaiw1240	the lung	688	tsu̱t⁵⁵	ʦu̱t⁵⁵	ts ṵ t ⁵⁵	lung	Huang1992,Matisoff2015	
6377	Achang_Longchuan	long1373	to cry (weep)	1420	ŋau⁵⁵	ŋau⁵⁵	ŋ a u ⁵⁵	cry	Huang1992,Matisoff2015	
6379	Rangoon	nucl1310	the goat	1502	sheʔ⁴	sheʔ⁴	sʰ e ʔ ⁴		Huang1992,Matisoff2015	
6380	Bola	pela1242	the stick	1295	və̆⁵⁵sɛ³¹	və̆⁵⁵sɛ³¹	v ə̆ ⁵⁵ + s ɛ ³¹	stick-1 stick-2	Huang1992,Matisoff2015	
6381	Bola	pela1242	inside	1606	a³¹khau⁵⁵	a³¹kʰau⁵⁵	a ³¹ + kʰ a u ⁵⁵	a-prefix inside	Huang1992,Matisoff2015	
6382	Maru	maru1249	the wolf	522	mjaŋ³¹◦kha³⁵	mjaŋ³¹◦kʰa³⁵	m j a ŋ ³¹ + kʰ a ³⁵	thunder dog	Huang1992,Matisoff2015	
5668	Rangoon	nucl1310	the bone	1394		ɑ⁵³jo⁵⁵	ɑ ⁵³ + j o ⁵⁵		Huang1992,Matisoff2015	
6386	Xiandao	xian1249	middle	1093	a³¹koŋ⁵⁵	a³¹koŋ⁵⁵	a ³¹ + k o ŋ ⁵⁵	a-prefix middle	Huang1992,Matisoff2015	
6387	Xiandao	xian1249	right	1019	lɔʔ⁵⁵jɔ⁵⁵	lɔʔ⁵⁵jɔ⁵⁵	l ɔ ʔ ⁵⁵ + j ɔ ⁵⁵	hand right	Huang1992,Matisoff2015	
6388	Xiandao	xian1249	the front (front side)	2194	ɲɔʔ⁵⁵sai³⁵	ɲɔʔ⁵⁵sai³⁵	ɲ ɔ ʔ ⁵⁵ + s a i ³⁵	face front	Huang1992,Matisoff2015	
6389	Lashi	lash1242	the hoof	152	khjei³³səŋ⁵⁵	kʰjei³³səŋ⁵⁵	kʰ j e i ³³ + s ə ŋ ⁵⁵	foot nail	Huang1992,Matisoff2015	
6390	Xiandao	xian1249	outside	762	a³¹noʔ⁵⁵	a³¹noʔ⁵⁵	a ³¹ + n o ʔ ⁵⁵	a-prefix outside	Huang1992,Matisoff2015	
6391	Xiandao	xian1249	inside	1606	a³¹xau⁵⁵	a³¹xau⁵⁵	a ³¹ + x a u ⁵⁵	a-prefix inside	Huang1992,Matisoff2015	
6392	Atsi	zaiw1240	the hail	609	lik²¹vo⁵¹	lik²¹vo⁵¹	l i k ²¹ + v o ⁵¹	hail rain	Huang1992,Matisoff2015	
6394	Maru	maru1249	the armpit	1886	lɔʔ³¹tʃhɛʔ⁵⁵	lɔʔ³¹tʃhɛʔ⁵⁵	l ɔ ʔ ³¹ + tʃʰ ɛ ʔ ⁵⁵	hand armpit?	Huang1992,Matisoff2015	
2299	Achang_Longchuan	long1373	left	244	lɔʔ³¹ nam³¹ pa³¹  | 0710.28	lɔʔ³¹nam³¹pa³¹	l ɔ ʔ ³¹ + n a m ³¹ + p a ³¹	hand left dir	Huang1992,Matisoff2015	
6396	Maru	maru1249	to chew	321	vɔ³⁵	vɔ³⁵	v ɔ ³⁵	chew	Huang1992,Matisoff2015	
2301	Atsi	zaiw1240	left	244	loʔ³¹ pa̱i²¹  | 0710.30	loʔ³¹pa̱i²¹	l o ʔ ²¹ + p a̰ i ²¹	hand left	Huang1992,Matisoff2015	
2303	Bola	pela1242	left	244	laʔ³¹ ka̱uŋ³⁵  | 0710.32	laʔ³¹ka̱uŋ³⁵	l a ʔ ³¹ + k a̰ u ŋ ³⁵	hand left	Huang1992,Matisoff2015	
6400	Atsi	zaiw1240	the stick	1295	nĕ²¹se²¹	nĕ²¹se²¹	n ĕ ²¹ + s e ²¹		Huang1992,Matisoff2015	
6401	Maru	maru1249	the nit	267	ʃiŋ³⁵a̱u⁵⁵	ʃiŋ³⁵a̱u⁵⁵	ʃ i ŋ ³⁵ + a̰ u ⁵⁵	louse egg	Huang1992,Matisoff2015	
6402	Xiandao	xian1249	the tiger	846	lɔ̆³¹mɔ³¹mut³⁵	lɔ̆³¹mɔ³¹mut³⁵	l ɔ̆ ³¹ + m ɔ ³¹ + m u t ³⁵	tiger mo-suffix ???	Huang1992,Matisoff2015	
2307	Lashi	lash1242	left	244	lɔʔ³¹ pe̱i⁵⁵  | 0710.33	lɔʔ³¹pe̱i⁵⁵	l ɔ ʔ ³¹ + p ḛ i ⁵⁵	hand left	Huang1992,Matisoff2015	
2308	Maru	maru1249	left	244	lɔʔ³¹ ka̱uŋ³⁵  | 0710.31	lɔʔ³¹ka̱uŋ³⁵	l ɔ ʔ ³¹ + k a̰ u ŋ ³⁵	hand left	Huang1992,Matisoff2015	
6405	Maru	maru1249	the hoof	152	khjuk⁵⁵saŋ³⁵	kʰjuk⁵⁵saŋ³⁵	kʰ j u k ⁵⁵ + s a ŋ ³⁵	foot nail	Huang1992,Matisoff2015	
2310	Xiandao	xian1249	left	244	lɔʔ⁵⁵ xa⁵⁵  | 0710.29	lɔʔ⁵⁵xa⁵⁵	l ɔ ʔ ⁵⁵ + x a ⁵⁵	hand left	Huang1992,Matisoff2015	
6407	Rangoon	nucl1310	the mouse or rat	2139	tɕwɛʔ⁴	ʨwɛʔ⁴	tɕ w ɛ ʔ ⁴		Huang1992,Matisoff2015	
6408	Rangoon	nucl1310	the wolf	522	wũ²²pu⁵³lwe²²	wũ²²pu⁵³lwe²²	w ũ ∼ ²² + p u ⁵³ + l w e ²²	bear ? ?	Huang1992,Matisoff2015	
6409	Rangoon	nucl1310	the fox	1312	mje²²khwe⁵⁵	mje²²kʰwe⁵⁵	m j e ²² + kʰ w e ⁵⁵		Huang1992,Matisoff2015	
6410	Xiandao	xian1249	morning	1339	nap⁵⁵mɔ⁵¹	nap⁵⁵mɔ⁵¹	n a p ⁵⁵ + m ɔ ⁵¹	morning1 morning2	Huang1992,Matisoff2015	
6411	Xiandao	xian1249	noon	12	cɔ⁵⁵cɔ³¹jɔʔ³⁵	cɔ⁵⁵cɔ³¹jɔʔ³⁵	c ɔ ⁵⁵ + c ɔ ³¹ + j ɔ ʔ ³⁵		Huang1992,Matisoff2015	
6412	Atsi	zaiw1240	salty	1091	i²¹tʃum²¹kho²¹	i²¹tʃum²¹kʰo²¹	i ²¹ + tʃ u m ²¹ + kʰ o ²¹	urine ? bitter	Huang1992,Matisoff2015	
6413	Rangoon	nucl1310	the sparrow	1854	sɑ²²	sɑ²²	s ɑ ²²		Huang1992,Matisoff2015	
6414	Rangoon	nucl1310	above	1741	ɑ⁵³thɛʔ	ɑ⁵³tʰɛʔ	ɑ ⁵³ + tʰ ɛ ʔ	a-prefix above	Huang1992,Matisoff2015	
6415	Atsi	zaiw1240	the daughter	1357	mji²¹ve²¹tso²¹	mji²¹ve²¹ʦo²¹	m j i ²¹ + v e ²¹ + ts o ²¹	woman-1 woman-2 child	Huang1992,Matisoff2015	
6416	Rangoon	nucl1310	the flea	232	ɬe⁵⁵	ɬe⁵⁵	ɬ e ⁵⁵		Huang1992,Matisoff2015	
6417	Rangoon	nucl1310	the nit	267	tθɑ̃⁵⁵u⁵³	tθɑ̃⁵⁵u⁵³	tθ ɑ̃ ∼ ⁵⁵ + u ⁵³		Huang1992,Matisoff2015	
6418	Maru	maru1249	to cry (weep)	1420	ŋuk³¹	ŋuk³¹	ŋ u k ³¹		Huang1992,Matisoff2015	
6419	Rangoon	nucl1310	the spider	843	pĩ⁵³ku²²	pĩ⁵³ku²²	p ĩ ∼ ⁵³ + k u ²²		Huang1992,Matisoff2015	
6420	Achang_Longchuan	long1373	the foot	1301	tɕhi⁵⁵	ʨʰi⁵⁵	tɕʰ i ⁵⁵	foot	Huang1992,Matisoff2015	
6421	Rangoon	nucl1310	the earthworm	2350	ti²²	ti²²	t i ²²		Huang1992,Matisoff2015	
6424	Achang_Longchuan	long1373	the mud	640	ȵ̥on⁵⁵pen³¹	ȵ̥on⁵⁵pen³¹	n̥ʲ o n ⁵⁵ + p e n ³¹	dirt? mud	Huang1992,Matisoff2015	
2436	Xiandao	xian1249	the liver	1224	a³¹ ʂɯŋ³¹  | 0145.29	a³¹ʂɯŋ³¹	a ³¹ + ʂ ɯ ŋ ³¹	a-prefix liver	Huang1992,Matisoff2015	
6427	Bola	pela1242	middle	1093	a³¹kauŋ³¹	a³¹kauŋ³¹	a ³¹ + k a u ŋ ³¹	a-prefix middle	Huang1992,Matisoff2015	
6428	Achang_Longchuan	long1373	firewood	10	thuaŋ³¹	tʰuaŋ³¹	tʰ u a ŋ ³¹	firewood	Huang1992,Matisoff2015	
6429	Atsi	zaiw1240	the foot	1301	khji⁵¹	kʰji⁵¹	kʰ j i ⁵¹	foot	Huang1992,Matisoff2015	
6430	Bola	pela1242	dark	706	naʔ³¹	naʔ³¹	n a ʔ ³¹	black	Huang1992,Matisoff2015	
6431	Xiandao	xian1249	yesterday	1174	n³¹m̥an³⁵	n³¹m̥an³⁵	n ³¹ + m̥ a n ³⁵	day-sun yesterday	Huang1992,Matisoff2015	
6432	Lashi	lash1242	I [first person singular]	1209	ŋo³¹	ŋo³¹	ŋ o ³¹	me	Huang1992,Matisoff2015	
6433	Atsi	zaiw1240	the hoof	152	khji⁵¹siŋ²¹	kʰji⁵¹siŋ²¹	kʰ j i ⁵¹ + s i ŋ ²¹	foot nail	Huang1992,Matisoff2015	
6436	Lashi	lash1242	the shoulder	1482	lɔʔ³¹sa̱n³³	lɔʔ³¹sa̱n³³	l ɔ ʔ ³¹ + s a̰ n ³³	hand shoulder	Huang1992,Matisoff2015	
6437	Lashi	lash1242	he or she [third person singular]	262	ŋjaŋ³³	ŋjaŋ³³	ŋ j a ŋ ³³	he	Huang1992,Matisoff2015	
6438	Bola	pela1242	right	1019	laʔ³¹ja⁵⁵	laʔ³¹ja⁵⁵	l a ʔ ³¹ + j a ⁵⁵	hand right	Huang1992,Matisoff2015	
6439	Bola	pela1242	the front (front side)	2194	xəi³⁵	xəi³⁵	x ə i ³⁵	front	Huang1992,Matisoff2015	
2345	Bola	pela1242	to lick	319	jaʔ³¹  | 1674.32	jaʔ³¹	j a ʔ ³¹	lick	Huang1992,Matisoff2015	
6442	Atsi	zaiw1240	the sheep	1331	sau²¹mji̱⁵⁵	sau²¹mji̱⁵⁵	s a u ²¹ + m j ḭ ⁵⁵	sheep-1 sheep-2	Huang1992,Matisoff2015	
6443	Atsi	zaiw1240	the goat	1502	pai²¹nam⁵⁵	pai²¹nam⁵⁵	p a i ²¹ + n a m ⁵⁵	goat-1 goat-2	Huang1992,Matisoff2015	
6444	Lashi	lash1242	the armpit	1886	lɔʔ³¹tʃnap⁵⁵	lɔʔ³¹tʃnap⁵⁵	l ɔ ʔ ³¹ + tʃʰ a p ⁵⁵	hand armpit	Huang1992,Matisoff2015	
6445	Rangoon	nucl1310	the wheat	1077	dʑõ²²	ʥõ²²	dʑ õ ∼ ²²		Huang1992,Matisoff2015	
6446	Rangoon	nucl1310	the barley (tibetan or highland)	932	bɑ²²li²²	bɑ²²li²²	b ɑ ²² + l i ²²		Huang1992,Matisoff2015	a loan from English?
2352	Maru	maru1249	to lick	319	jɔʔ³¹  | 1674.31	jɔʔ³¹	j ɔ ʔ ³¹		Huang1992,Matisoff2015	
6450	Bola	pela1242	above	1741	a³¹thaʔ⁵⁵	a³¹tʰaʔ⁵⁵	a ³¹ + tʰ a ʔ ⁵⁵	a-prefix over	Huang1992,Matisoff2015	
6451	Bola	pela1242	below, under	1485	a³¹a⁵⁵	a³¹a⁵⁵	a ³¹ + a ⁵⁵	a-prefix under	Huang1992,Matisoff2015	
2357	Achang_Longchuan	long1373	to lie down	215	ŋ̊a⁵⁵  | 1661.28	ŋ̊a⁵⁵	ŋ̊ a ⁵⁵		Huang1992,Matisoff2015	
2358	Atsi	zaiw1240	to lie down	215	leʔ²¹  | 1661.30	leʔ²¹	l e ʔ ²¹	lie-down	Huang1992,Matisoff2015	
2359	Bola	pela1242	to lie down	215	laŋ³⁵  | 1661.32	laŋ³⁵	l a ŋ ³⁵	lie-down	Huang1992,Matisoff2015	
2360	Lashi	lash1242	to lie down	215	ləːŋ³¹  | 1661.33	ləːŋ³¹	l əː ŋ ³¹		Huang1992,Matisoff2015	
2361	Maru	maru1249	to lie down	215	laŋ³⁵  | 1661.31	laŋ³⁵	l a ŋ ³⁵		Huang1992,Matisoff2015	
2362	Xiandao	xian1249	to lie down	215	ɲɛŋ⁵⁵  | 1661.29	ɲɛŋ⁵⁵	ɲ ɛ ŋ ⁵⁵		Huang1992,Matisoff2015	
6459	Bola	pela1242	morning	1339	nɛʔ³¹kɔ̃⁵⁵	nɛʔ³¹kɔ̃⁵⁵	n ɛ ʔ ³¹ + k ɔ̃ ∼ ⁵⁵	day-2 life-span?	Huang1992,Matisoff2015	
6460	Bola	pela1242	noon	12	ŋji³⁵kauŋ³¹tu̱⁵⁵	ŋji³⁵kauŋ³¹tu̱⁵⁵	ŋ j i ³⁵ + k a u ŋ ³¹ + t ṵ ⁵⁵	day-1 middle noon	Huang1992,Matisoff2015	
6461	Atsi	zaiw1240	the mouse or rat	2139	ŋĕ²¹noʔ²¹	ŋĕ²¹noʔ²¹	ŋ ĕ ²¹ + n o ʔ ²¹	mouse black	Huang1992,Matisoff2015	
6463	Atsi	zaiw1240	the wolf	522	vam⁵¹khui²¹mo⁵⁵	vam⁵¹kʰui²¹mo⁵⁵	v a m ⁵¹ + kʰ u i ²¹ + m o ⁵⁵	bear dog mo-suffix	Huang1992,Matisoff2015	
6464	Lashi	lash1242	round	1395	ləːŋ⁵⁵	ləːŋ⁵⁵	l əː ŋ ⁵⁵		Huang1992,Matisoff2015	
