ID	Language_name	Language_ID	Parameter_name	Parameter_ID	Value	Form	Segments	Motivation_structure	Source	Comment
135	Lashi	lash1242	bad	1292	pjɔːʔ³¹  | 1053.33	pjɔːʔ³¹	p j ɔː ʔ ³¹	bad	Huang1992,Matisoff2015	
136	Maru	maru1249	bad	1292	kɔi³⁵  | 1053.31	kɔi³⁵	k ɔ i ³⁵	bad	Huang1992,Matisoff2015	
137	Xiandao	xian1249	bad	1292	n³¹ cɛ⁵⁵  | 1053.29	n³¹cɛ⁵⁵	n ³¹ + c ɛ ⁵⁵	not good	Huang1992,Matisoff2015	
4234	Maru	maru1249	the tail	1220	ʃɔ̆³⁵ mji³¹  | 0267.31	ʃɔ̆³⁵mji³¹	ʃ ɔ̆ ³⁵ + m j i ³¹	meat tail	Huang1992,Matisoff2015	
141	Achang_Longchuan	long1373	the bamboo	1927	o³¹  | 0389.28	o³¹	o ³¹	bamboo	Huang1992,Matisoff2015	
143	Atsi	zaiw1240	the bamboo	1927	va²¹  | 0389.30	va²¹	v a ²¹	bamboo	Huang1992,Matisoff2015	
144	Bola	pela1242	the bamboo	1927	va³¹  | 0389.32	va³¹	v a ³¹	bamboo	Huang1992,Matisoff2015	
4242	Achang_Longchuan	long1373	high / tall	1265	m̥ʐaŋ⁵⁵  | 0968.28	m̥ʐaŋ⁵⁵	m̥ ʐ a ŋ ⁵⁵	high	Huang1992,Matisoff2015	
147	Lashi	lash1242	the bamboo	1927	wo³³  | 0389.33	wo³³	w o ³³	bamboo	Huang1992,Matisoff2015	
148	Maru	maru1249	the bamboo	1927	vɔ³⁵  | 0389.31	vɔ³⁵	v ɔ ³⁵	bamboo	Huang1992,Matisoff2015	
4245	Bola	pela1242	high / tall	1265	mjɔ̱̃⁵⁵  | 0968.32	mjɔ̱̃⁵⁵	m j ɔ̰̃ ∼ ⁵⁵	high	Huang1992,Matisoff2015	
4121	Xiandao	xian1249	straight	1404	ʂa³¹  | 1003.29	ʂa³¹	ʂ a ³¹	straight-flow	Huang1992,Matisoff2015	bad concept
4248	Lashi	lash1242	high / tall	1265	mja̱ːŋ³³  | 0968.33	mja̱ːŋ³³	m j a̰ː ŋ ³³	high	Huang1992,Matisoff2015	
4249	Maru	maru1249	high / tall	1265	mjɔ̃³¹  | 0968.31	mjɔ̃³¹	m j ɔ̃ ∼ ³¹	high	Huang1992,Matisoff2015	
4251	Xiandao	xian1249	high / tall	1265	m̥ʐaŋ⁵⁵  | 0968.29	m̥ʐaŋ⁵⁵	m̥ ʐ a ŋ ⁵⁵	high	Huang1992,Matisoff2015	
4255	Achang_Longchuan	long1373	ten	1515	tɕhe⁵⁵  | 0806.28	tɕhe⁵⁵	tɕʰ e ⁵⁵	ten	Huang1992,Matisoff2015	
4258	Atsi	zaiw1240	ten	1515	tshe⁵¹  | 0806.30	tshe⁵¹	tsʰ e ⁵¹	ten	Huang1992,Matisoff2015	
4260	Bola	pela1242	ten	1515	tă³¹ thai⁵⁵  | 0806.32	tă³¹thai⁵⁵	t ă ³¹ + tʰ a i ⁵⁵	one ten	Huang1992,Matisoff2015	
4263	Lashi	lash1242	ten	1515	tă³¹ tshe³³  | 0806.33	tă³¹tshe³³	t ă ³¹ + tsʰ e ³³	one ten	Huang1992,Matisoff2015	
4264	Maru	maru1249	ten	1515	tshɛ³¹  | 0806.31	tshɛ³¹	tsʰ ɛ ³¹	ten	Huang1992,Matisoff2015	
4266	Xiandao	xian1249	ten	1515	ta³¹ tshi⁵⁵  | 0806.29	ta³¹tshi⁵⁵	t a ³¹ + tsʰ i ⁵⁵	one ten	Huang1992,Matisoff2015	
2078	Bola	pela1242	the husband	1200	jɔ̃³¹ lɔ̃⁵⁵  | 0247.32	jɔ̃³¹lɔ̃⁵⁵	j ɔ̃ ∼ ³¹ + l ɔ̃ ∼ ⁵⁵	he long-thing	Huang1992,Matisoff2015	
3143	Achang_Longchuan	long1373	to push	1452	tun³¹  | 1689.28	tun³¹	t u n ³¹	push	Huang1992,Matisoff2015	
4283	Bola	pela1242	that	78	xu⁵¹  | 0947.32	xu⁵¹	x u ⁵¹	that-1	Huang1992,Matisoff2015	bad concept
2052	Bola	pela1242	hundred	1634	ja⁵⁵  | 0824.32	ja⁵⁵	j a ⁵⁵	hundred	Huang1992,Matisoff2015	
4290	Achang_Longchuan	long1373	that	78	the⁵⁵  | 0947.28	the⁵⁵	tʰ e ⁵⁵	that	Huang1992,Matisoff2015	bad concept
4291	Atsi	zaiw1240	that	78	xje⁵¹  | 0947.30	xje⁵¹	x j e ⁵¹	that	Huang1992,Matisoff2015	bad concept
4292	Lashi	lash1242	that	78	thə³³  | 0947.33	thə³³	tʰ ə ³³	that	Huang1992,Matisoff2015	bad concept
4293	Maru	maru1249	that	78	thø³¹  | 0947.31	thø³¹	tʰ ø ³¹		Huang1992,Matisoff2015	bad concept
4294	Xiandao	xian1249	that	78	thɛ⁵⁵  | 0947.29	thɛ⁵⁵	tʰ ɛ ⁵⁵	that	Huang1992,Matisoff2015	bad concept
7543	Old_Burmese	oldb1235	wet	1726		cuiv	ts ə w		Okell1971,Luce1985,Nishi1999	
2082	Maru	maru1249	the husband	1200	lɔ̃³¹  | 0247.31	lɔ̃³¹	l ɔ̃ ∼ ³¹		Huang1992,Matisoff2015	
8400	Xiandao	xian1249	the leaf	2250		a³¹◦xʐoʔ⁵⁵	a ³¹ + xʐ o ʔ ⁵⁵	a-prefix leaf	Huang1992,Matisoff2015	
2083	Xiandao	xian1249	the husband	1200	laʔ³¹ ŋau⁵⁵  | 0247.29	laʔ³¹ŋau⁵⁵	l a ʔ ³¹ + ŋ a u ⁵⁵		Huang1992,Matisoff2015	
5497	Rangoon	nucl1310	wet	1726		so²²	s o ²²		Huang1992,Matisoff2015	
2767	Bola	pela1242	near	1942	tʃɔ̱̃³⁵  | 0975.32  | 1125.32	tʃɔ̱̃³⁵	tʃ ɔ̰̃ ∼ ³⁵	near	Huang1992,Matisoff2015	bad concept
4316	Achang_Longchuan	long1373	there	1937	the⁵⁵ thɔʔ⁵⁵  | 0950.28	the⁵⁵thɔʔ⁵⁵	tʰ e ⁵⁵ + tʰ ɔ ʔ ⁵⁵	that dir2	Huang1992,Matisoff2015	bad concept
4317	Atsi	zaiw1240	there	1937	xje⁵¹ ma⁵⁵  | 0950.30	xje⁵¹ma⁵⁵	x j e ⁵¹ + m a ⁵⁵	that on	Huang1992,Matisoff2015	bad concept
4318	Bola	pela1242	there	1937	thɔ̆i⁵⁵ mɛ̃⁵⁵  | 0950.32	thɔ̆i⁵⁵mɛ̃⁵⁵	tʰ ɔ̆ i ⁵⁵ + m ɛ̃ ∼ ⁵⁵	there on	Huang1992,Matisoff2015	bad concept
4319	Lashi	lash1242	there	1937	thə³³ mo³³  | 0950.33	thə³³mo³³	tʰ ə ³³ + m o ³³	that on	Huang1992,Matisoff2015	bad concept
4320	Maru	maru1249	there	1937	thø⁵⁵ mɛ³¹  | 0950.31	thø⁵⁵mɛ³¹	tʰ ø ⁵⁵ + m ɛ ³¹	there on	Huang1992,Matisoff2015	bad concept
4321	Xiandao	xian1249	there	1937	thɛ⁵⁵ thɔʔ⁵⁵  | 0950.29	thɛ⁵⁵thɔʔ⁵⁵	tʰ ɛ ⁵⁵ + tʰ ɔ ʔ ⁵⁵	that up-on	Huang1992,Matisoff2015	bad concept
5499	Rangoon	nucl1310	the fog	249		mju²²	m j u ²²		Huang1992,Matisoff2015	
2089	Achang_Longchuan	long1373	the ice	617	kət³⁵  | 0017.28	kət³⁵	k ə t ³⁵		Huang1992,Matisoff2015	
4356	Achang_Longchuan	long1373	thick	1244	kan³¹  | 0980.28	kan³¹	k a n ³¹		Huang1992,Matisoff2015	
4359	Atsi	zaiw1240	thick	1244	thu⁵¹  | 0980.30	thu⁵¹	tʰ u ⁵¹	thick	Huang1992,Matisoff2015	
4361	Bola	pela1242	thick	1244	thu⁵⁵  | 0980.32	thu⁵⁵	tʰ u ⁵⁵	thick	Huang1992,Matisoff2015	
4364	Lashi	lash1242	thick	1244	thuː³³  | 0980.33	thuː³³	tʰ uː ³³	thick	Huang1992,Matisoff2015	
1410	Atsi	zaiw1240	the fish	227	ŋŏ²¹ tso²¹  | 0351.30	ŋŏ²¹tso²¹	ŋ ŏ ²¹ + ts o ²¹	fish child?	Huang1992,Matisoff2015	
4367	Xiandao	xian1249	thick	1244	kan³⁵  | 0980.29	kan³⁵	k a n ³⁵		Huang1992,Matisoff2015	
2094	Bola	pela1242	the ice	617	ŋɛ̱̃⁵⁵  | 0017.32	ŋɛ̱̃⁵⁵	ŋ ɛ̰̃ ∼ ⁵⁵	icy-thing	Huang1992,Matisoff2015	
2096	Lashi	lash1242	the ice	617	ŋa̱n³³  | 0017.33	ŋa̱n³³	ŋ a̰ n ³³	icy-thing	Huang1992,Matisoff2015	
299	Bola	pela1242	the belly	1251	vɛ³¹ tau³¹  | 0096.32	vɛ³¹tau³¹	v ɛ ³¹ + t a u ³¹	belly-1 belly-1	Huang1992,Matisoff2015	
302	Maru	maru1249	the belly	1251	vẽ³⁵ tuk³¹  | 0096.31	vẽ³⁵tuk³¹	v ẽ ³⁵ + t u k ³¹		Huang1992,Matisoff2015	
310	Achang_Longchuan	long1373	big	1202	kʐə³¹  | 0964.28	kʐə³¹	k ʐ ə ³¹	big	Huang1992,Matisoff2015	
5513	Rangoon	nucl1310	what	1236		bɑ²²	b ɑ ²²		Huang1992,Matisoff2015	
312	Atsi	zaiw1240	big	1202	ko̱²¹  | 0964.30	ko̱²¹	k o̰ ²¹	big	Huang1992,Matisoff2015	
313	Bola	pela1242	big	1202	kɔ̱³⁵  | 0964.32	kɔ̱³⁵	k ɔ̰ ³⁵	big	Huang1992,Matisoff2015	
