ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,form_in_source
5425,rangoon,624,kɑ̃²²,k ɑ̃ ∼ ²²,,,
5427,rangoon,744,û⁵³,u ⁵³,,,
5428,rangoon,1235,mi²²tθu²²,m i ²² + tθ u ²²,,,
5429,rangoon,1235,bɛ²²tθu²²,b ɛ ²² + tθ u ²²,,,
5430,rangoon,1937,tʰo²²◦ɑ⁵³nɑ⁵⁵,tʰ o ²² + ɑ ⁵³ + n ɑ ⁵⁵,bad concept,,
5437,rangoon,1704,kʰu⁵³n̥iʔ⁴,kʰ u ⁵³ + n̥ i ʔ ⁴,,,
5438,rangoon,1474,pĩ²²lɛ²²,p ĩ ²² + l ɛ ²²,,,
5441,rangoon,2,pʰõ²²,pʰ õ ∼ ²²,,,
5447,rangoon,1455,shwɛ⁵⁵,sʰ w ɛ ⁵⁵,,,
1352,achanglongchuan,1423,tek⁵⁵kɔ³¹,t e k ⁵⁵ + k ɔ ³¹,bad concept,,
5451,rangoon,1494,tθe²²,tθ e ²²,,,
5452,rangoon,778,mi⁵⁵kʰo⁵⁵,m i ⁵⁵ + kʰ o ⁵⁵,,,
5453,rangoon,492,tθõ⁵⁵,tθ õ ∼ ⁵⁵,,,
5457,rangoon,634,ɑ⁵³tθɑ⁵⁵,ɑ ⁵³ + tθ ɑ ⁵⁵,,,
5459,rangoon,1230,ȵiʔ⁴pɑʔ⁴,nʲ i ʔ ⁴ + p ɑ ʔ ⁴,,,
1364,bola,1423,pɛʔ³¹la̱m³⁵,p ɛ ʔ ³¹ + l a̰ m ³⁵,bad concept,,
1365,lashi,1423,pat³¹kɔ⁵⁵,p a t ³¹ + k ɔ ⁵⁵,bad concept,,
1366,maru,1423,pɛʔ³¹la̱m³¹,p ɛ ʔ ³¹ + l a̰ m ³¹,bad concept,,
5466,rangoon,615,mjĩ⁵⁵,m j ĩ ⁵⁵,,,
5469,rangoon,960,le²²,l e ²²,,,
5470,rangoon,1435,ɑ⁵³mɛ⁵⁵lɑiʔ⁴,ɑ ⁵³ + m ɛ ⁵⁵ + l ɑ i ʔ ⁴,,,
5472,rangoon,1803,tθiʔ⁴tõ⁵⁵,tθ i ʔ ⁴ + t õ ∼ ⁵⁵,,,
5476,rangoon,1257,tɑ̃u²²pɑ̃²²,t ɑ̃ u ∼ ²² + p ɑ̃ ∼ ²²,,,
5478,rangoon,1456,piʔ⁴,p i ʔ ⁴,bad concept,,
5482,rangoon,1052,pɔ⁵³,p ɔ ⁵³,,,
5483,rangoon,1355,ji²²,j i ²²,,,
5489,rangoon,1371,du⁵⁵,d u ⁵⁵,,,
1394,achanglongchuan,221,poi³¹,p o i ³¹,,,
5491,rangoon,136,i²²◦twĩ²²,i ²² + t w ĩ ∼ ²²,bad concept,,
1396,atsi,221,mji²¹,m j i ²¹,,,
1397,bola,221,mi³¹,m i ³¹,,,
5494,rangoon,1248,mjɛʔ⁴si⁵³,m j ɛ ʔ ⁴ + s i ⁵³,,,
1400,lashi,221,mji³³,m j i ³³,,,
1401,maru,221,mji³⁵,m j i ³⁵,,,
1402,xiandao,221,n̩⁵⁵pui³¹,n̩ ⁵⁵ + p u i ³¹,,,
1403,xiandao,221,n̩⁵⁵pui³¹,n̩ ⁵⁵ + p u i ³¹,,,
5500,rangoon,175,n̥ɑʔ⁴ȵiʔ⁴,n̥ ɑ ʔ ⁴ + nʲ i ʔ ⁴,,,
5502,rangoon,1035,kɑ̃u⁵⁵,k ɑ̃ u ∼ ⁵⁵,,,
1407,achanglongchuan,227,ŋa³¹ʂua³¹,ŋ a ³¹ + ʂ u a ³¹,,,
5505,rangoon,906,tθiʔ⁴pĩ²²,tθ i ʔ ⁴ + p ĩ ∼ ²²,,,
5506,rangoon,671,tθɛ⁵⁵,tθ ɛ ⁵⁵,,,
1411,bola,227,ŋə̆³¹ta³¹,ŋ ə̆ ³¹ + t a ³¹,,,
918,maru,1418,tau³⁵,t a u ³⁵,bad concept,,
1414,lashi,227,ŋə̆³¹tso³³,ŋ ə̆ ³¹ + ts o ³³,,,
1415,maru,227,ŋə̆³¹tsɔ³¹,ŋ ə̆ ³¹ + ts ɔ ³¹,,,
5512,rangoon,1236,ɑ⁵³bɛ²²,ɑ ⁵³ + b ɛ ²²,,,
1417,xiandao,227,ŋ̊ɔ̆³¹ʂɔ³¹,ŋ̊ ɔ̆ ³¹ + ʂ ɔ ³¹,,,
5514,rangoon,1415,twe⁵⁵,t w e ⁵⁵,,,
5516,rangoon,1418,tu⁵⁵,t u ⁵⁵,bad concept,,
5517,rangoon,215,tõ⁵⁵lõ⁵⁵ɬɛ⁵⁵,t õ ∼ ⁵⁵ + l õ ∼ ⁵⁵ + ɬ ɛ ⁵⁵,,,
5518,rangoon,1927,wɑ⁵⁵,w ɑ ⁵⁵,,,
1423,atsi,493,ŋo²¹,ŋ o ²¹,,,
1424,bola,493,ŋa³¹,ŋ a ³¹,,,
5522,rangoon,1420,je²²,j e ²²,,,
1427,lashi,493,ŋ³³,ŋ ³³,,,
1428,maru,493,ŋɔ⁵⁵,ŋ ɔ ⁵⁵,,,
1429,xiandao,493,ŋɔ³¹,ŋ ɔ ³¹,,,
5527,rangoon,1217,ɑ⁵³pʰe²²,ɑ ⁵³ + pʰ e ²²,,,
5528,rangoon,163,nɛʔ⁴,n ɛ ʔ ⁴,,,
