# Wordlist

# DATA
ID	COGID	POS	ALIGNMENT	CONCEPT	DOCULECT	ORIGINAL_CONCEPT	STEDT_SRCID	ORIGINAL_TAXNAME	ORIGINAL_ENTRY	MORPHEMES	NOTE	COGIDS	SOURCE	STEDT_GLOSS	CONCEPTICON_ID	STEDT_REFLEX	IPA	STEDT_CONCEPT	TOKENS	STEDT_RN	STEDT_ANALYSIS	STEDT_ID
6536	94		n ɔ ʔ ⁵⁵	early	Xiandao	early	1018.29	Achang (Xiandao)	nɔʔ⁵⁵	early		35	TBL		672		nɔʔ⁵⁵		n ɔ ʔ ⁵⁵	38697	6227	12862
6604	94		n a ʔ ⁵⁵	early	Bola	early	1018.32	Bola (Luxi)	naʔ⁵⁵	early		35	TBL		672		naʔ⁵⁵		n a ʔ ⁵⁵	45986	6227	5261
#
1150	439	other	ɕ e t ⁵⁵	eight	Achang_Longchuan	eight	0804.28	Achang (Longchuan) TBL	ɕet⁵⁵  | 0804.28	eight		247	TBL		1705	ɕet⁵⁵	ɕet⁵⁵	eight	ɕ e t ⁵⁵	386412	2259	9675
1152	439	other	ʃ i t ⁵⁵	eight	Atsi	eight	0804.30	Atsi [Zaiwa] TBL	ʃit⁵⁵  | 0804.30	eight		247	TBL		1705	ʃit⁵⁵	ʃit⁵⁵	eight	ʃ i t ⁵⁵	386414	2259	5175
1153	439	other	ʃ ɛ ʔ ⁵⁵	eight	Bola	eight	0804.32	Bola (Luxi) TBL	ʃɛʔ⁵⁵  | 0804.32	eight		247	TBL		1705	ʃɛʔ⁵⁵	ʃɛʔ⁵⁵	eight	ʃ ɛ ʔ ⁵⁵	386416	2259	8212
1156	439	other	ʃ ɛ̰ t ⁵⁵	eight	Lashi	eight	0804.33	Leqi (Luxi) TBL	ʃɛ̱t⁵⁵  | 0804.33	eight		247	TBL		1705	ʃɛ̱t⁵⁵	ʃɛ̱t⁵⁵	eight	ʃ ɛ̰ t ⁵⁵	386417	2259	6329
1157	439	other	ʃ ɛ ʔ ⁵⁵	eight	Maru	eight	0804.31	Langsu (Luxi) TBL	ʃɛʔ⁵⁵  | 0804.31	eight		247	TBL		1705	ʃɛʔ⁵⁵	ʃɛʔ⁵⁵	eight	ʃ ɛ ʔ ⁵⁵	386415	2259	9303
1158	439	other	ç ɛ ʈ ⁵⁵	eight	Xiandao	eight	0804.29	Achang (Xiandao) TBL	çɛʈ⁵⁵  | 0804.29	eight		247	TBL		1705	çɛʈ⁵⁵	çɛʈ⁵⁵	eight	ç ɛ ʈ ⁵⁵	386413	2259	9827
5575	439	other	ɕ i ʔ ⁴	eight	Rangoon		0804.27			eight		247	TBL		1705	ɕiʔ⁴	ɕiʔ⁴	eight	ɕ i ʔ ⁴	386411	2259	6134
#
1241	473	other	v e - ³¹	far	Achang_Longchuan	far	0974.28	Achang (Longchuan) TBL	ve³¹  | 0974.28	far		266	TBL		1406	ve³¹	ve³¹	far / distant	v e ³¹	395204	622	2571
5272	473	other	w e - ⁵⁵	far	Rangoon		0974.27			far		266	TBL		1406	we⁵⁵	we⁵⁵	far / distant	w e ⁵⁵	395203	622	5876
1244	473	other	v ɛ - ³¹	far	Bola	far	0974.32	Bola (Luxi) TBL	vɛ³¹  | 0974.32	far		266	TBL		1406	vɛ³¹	vɛ³¹	far / distant	v ɛ ³¹	395208	622	8851
1247	473	other	v ɛː - ³³	far	Lashi	far	0974.33	Leqi (Luxi) TBL	vɛː³³  | 0974.33	far		266	TBL		1406	vɛː³³	vɛː³³	far / distant	v ɛː ³³	395209	622	6948
