ID	RN	ANALYSIS	GANALYSIS	OANALYSIS	REFLEX	CONCEPT	GFN	LGID	DOCULECT	GRPID	GRPNO	GRP	CITATION	SRCABBR	SRCID	SEMKEY	CHAPTERTITLE	NUM_NOTES
9953	384821				lŏ̱⁵⁵mo⁵⁵i⁵⁵khjap⁵⁵	February	n	1827	Atsi [Zaiwa]	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0773.30	9.1.2	Months and Years	0
10297	384822				lɔ̱⁵⁵ʃi̱k⁵⁵khjɛʔ⁵⁵	February	n	1828	Langsu (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0773.31	9.1.2	Months and Years	0
311	392741	2530			ŋɑɑ²	I	pron	1822	Burmese (Written)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0928.26	4.1	Pronouns	0
999	392744	2530			ŋɔ⁵⁵	I	pron	1825	Achang (Xiandao)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0928.29	4.1	Pronouns	0
2684	392743	2530			ŋɔ⁵⁵	I	pron	1824	Achang (Longchuan)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0928.28	4.1	Pronouns	0
5157	392745	2530			ŋo⁵¹	I	pron	1827	Atsi [Zaiwa]	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0928.30	4.1	Pronouns	0
5930	392742	2530			ŋɑ²²	I	pron	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0928.27	4.1	Pronouns	0
7049	392748	2530			ŋo³¹	I	pron	1830	Leqi (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0928.33	4.1	Pronouns	0
8136	392747	2530			ŋa⁵⁵	I	pron	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0928.32	4.1	Pronouns	0
9237	392746	2530			ŋɔ³¹	I	pron	1828	Langsu (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0928.31	4.1	Pronouns	0
182	384765				tɑn²khu³	January	n	1822	Burmese (Written)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0772.26	9.1.2	Months and Years	0
3573	384766				tɑ̃²²khu⁵⁵	January	n	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0772.27	9.1.2	Months and Years	0
8060	384771				tʃin³⁵jɛ³¹	January	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0772.32	9.1.2	Months and Years	0
8448	384767				tă³¹pau⁵¹l̥ɔ³⁵	January	n	1824	Achang (Longchuan)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0772.28	9.1.2	Months and Years	0
9527	384772				lə̆⁵⁵mo⁵⁵ta³¹khjap⁵⁵	January	n	1830	Leqi (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0772.33	9.1.2	Months and Years	0
9940	384768				lɤn³¹ta³¹	January	n	1825	Achang (Xiandao)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0772.29	9.1.2	Months and Years	0
9954	384769				lŏ̱⁵⁵mo⁵⁵lă²¹khjap⁵⁵	January	n	1827	Atsi [Zaiwa]	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0772.30	9.1.2	Months and Years	0
10296	384770				lɔ̱⁵⁵tă³¹khjɛʔ⁵⁵	January	n	1828	Langsu (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0772.31	9.1.2	Months and Years	0
188	385644				tɑ¹nɑŋ³lɑɑ²	Monday	n/adv	1822	Burmese (Written)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0789.26	9.1.3	Days	0
1158	385650				lə̆³¹pan⁵¹ta³¹	Monday	n/adv	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0789.32	9.1.3	Days	0
3590	385645				tɑ⁵³nĩ⁵⁵lɑ²²	Monday	n/adv	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0789.27	9.1.3	Days	0
4690	385651				lə̆⁵⁵pan³¹ta³¹ŋjei⁵⁵	Monday	n/adv	1830	Leqi (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0789.33	9.1.3	Days	0
7262	385648				jĭ⁵⁵pan²¹thaŋ⁵¹lă²¹ŋji⁵⁵	Monday	n/adv	1827	Atsi [Zaiwa]	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0789.30	9.1.3	Days	0
2960	385953	m,6178			tsan⁵¹sik⁵⁵	New Year's Day	n	1827	Atsi [Zaiwa]	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0795.30	1.5.3.2	Five	0
6698	385956	m,6178			tsan³¹sə̱k⁵⁵	New Year's Day	n	1830	Leqi (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0795.33	1.5.3.2	Five	0
7643	385949	2501,m			hnɑs⁴tθɑs⁴	New Year's Day	n	1822	Burmese (Written)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0795.26	1.5.3.2	Five	0
8025	385955				tɛ̃⁵⁵sak⁵⁵	New Year's Day	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0795.32	1.5.3.2	Five	0
9056	385950				n̥iʔ⁴tθiʔ⁴	New Year's Day	n	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0795.27	1.5.3.2	Five	0
10623	385954	m,6178			tsəŋ³¹sa̱k⁵⁵	New Year's Day	n	1828	Langsu (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0795.31	1.5.3.2	Five	0
261	385974				tθɑŋ³krɑṁ²	New Year's Day (in Burmese system, around April)	n	1822	Burmese (Written)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0795.26	1.5.3.2	Five	0
3791	385975				tθĩ⁵⁵tɕɑ̃²²	New Year's Day (in Burmese system, around April)	n	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0795.27	1.5.3.2	Five	0
1682	353541				ti¹bhɑk⁴lu²mjo³	Tibetan		1822	Burmese (Written)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0166.26	4.6	Ethnonyms/Place names	0
3497	353542				ti⁵³bɛʔ⁴lu²²mjo⁵⁵	Tibetan		1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0166.27	4.6	Ethnonyms/Place names	0
11648	353548				lə̆³¹sɿ³³	Tibetan		1830	Leqi (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0166.33	4.6	Ethnonyms/Place names	0
12657	353547				tsaŋ ³⁵	Tibetan		1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0166.32	4.6	Ethnonyms/Place names	0
13261	353545				muŋ²¹phaŋ⁵⁵	Tibetan		1827	Atsi [Zaiwa]	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0166.30	4.6	Ethnonyms/Place names	0
13377	353546				tsaŋ³⁵tshuʔ ³¹	Tibetan		1828	Langsu (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0166.31	4.6	Ethnonyms/Place names	0
417	385695				ɑŋ²gɑɑ²	Tuesday	n/adv	1822	Burmese (Written)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0790.26	9.1.3	Days	0
1157	385701				lə̆³¹pan⁵¹i̱³⁵	Tuesday	n/adv	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0790.32	9.1.3	Days	0
3928	385696				ĩ²²gɑ²²	Tuesday	n/adv	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0790.27	9.1.3	Days	0
7261	385699				jĭ⁵¹pan²¹thaŋ⁵¹i⁵⁵ŋji⁵⁵	Tuesday	n/adv	1827	Atsi [Zaiwa]	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0790.30	9.1.3	Days	0
10769	405725				pji⁵⁵mjɑuʔ⁴	accomplish / succeed		1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1193.27	6.2	Action Verbs with Patient	0
12276	405729				paːn³¹ (pjɛ³¹)	accomplish / succeed		1830	Leqi (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1193.33	6.2	Action Verbs with Patient	0
12601	405728				pɛ̃⁵⁵	accomplish / succeed		1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1193.32	6.2	Action Verbs with Patient	0
13109	405724			65:134	pri³mrɔk⁴	accomplish / succeed		1822	Burmese (Written)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1193.26	6.2	Action Verbs with Patient	0
13289	405726				pa̱n⁵⁵	accomplish / succeed		1827	Atsi [Zaiwa]	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1193.30	6.2	Action Verbs with Patient	0
13651	405727				pəŋ³¹	accomplish / succeed		1828	Langsu (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1193.31	6.2	Action Verbs with Patient	0
1598	414938				su¹	accumulate	v.	1822	Burmese (Written)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1401.26	6.21	Acquisitions	0
2674	414940				xʐɔm³⁵	accumulate	v.	1824	Achang (Longchuan)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1401.28	6.21	Acquisitions	0
3010	414941				tsi̱ŋ²¹	accumulate	v.	1827	Atsi [Zaiwa]	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1401.30	6.21	Acquisitions	0
3370	414939				su⁵³	accumulate	v.	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1401.27	6.21	Acquisitions	0
6785	414942				tsə̱ːŋ⁵⁵	accumulate	v.	1830	Leqi (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1401.33	6.21	Acquisitions	0
2112	429474				mɛ̃³⁵	accustomed to, be / habit of, ha	v.	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1712.32	10.1.1	Prepositions	0
3295	429469				ɑ¹kjɑŋ¹	accustomed to, be / habit of, ha	v.	1822	Burmese (Written)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1712.26	10.1.1	Prepositions	0
4695	429475				maːn⁵⁵	accustomed to, be / habit of, ha	v.	1830	Leqi (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1712.33	10.1.1	Prepositions	0
6097	429470				ɑ⁵³tɕĩ⁵³	accustomed to, be / habit of, ha	v.	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1712.27	10.1.1	Prepositions	0
11209	429472				man⁵⁵	accustomed to, be / habit of, ha	v.	1827	Atsi [Zaiwa]	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1712.30	10.1.1	Prepositions	0
11308	429471				ȵ̥am³¹	accustomed to, be / habit of, ha	v.	1824	Achang (Longchuan)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1712.28	10.1.1	Prepositions	0
13524	429473				məŋ⁵⁵	accustomed to, be / habit of, ha	v.	1828	Langsu (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1712.31	10.1.1	Prepositions	0
2124	427295				na⁵⁵	ache (head)	v.	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1666.32	1.1.5.1	Sick/Hurt/Ache	0
2664	427291				xə³¹	ache (head)	v.	1824	Achang (Longchuan)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1666.28	1.1.5.1	Sick/Hurt/Ache	0
4122	427290				kɑiʔ⁴	ache (head)	v.	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1666.27	1.1.5.1	Sick/Hurt/Ache	0
4754	427296				nɔː³¹	ache (head)	v.	1830	Leqi (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1666.33	1.1.5.1	Sick/Hurt/Ache	0
11278	427293				no⁵¹	ache (head)	v.	1827	Atsi [Zaiwa]	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1666.30	1.1.5.1	Sick/Hurt/Ache	0
11479	427292				khɤ³¹	ache (head)	v.	1825	Achang (Xiandao)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1666.29	1.1.5.1	Sick/Hurt/Ache	0
11722	427289				kok⁴	ache (head)	v.	1822	Burmese (Written)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1666.26	1.1.5.1	Sick/Hurt/Ache	0
13556	427294				nɔ³¹	ache (head)	v.	1828	Langsu (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1666.31	1.1.5.1	Sick/Hurt/Ache	0
2213	430023				sə̆³¹kɔ̱t⁵⁵nau⁵⁵	admire and envy	v.	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1724.32	8.3.1.1.1	Like	0
3283	430020				ɑ³kjɑ¹	admire and envy	v.	1822	Burmese (Written)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1724.26	8.3.1.1.1	Like	0
6128	430021				ɑ⁵⁵tɕɑ⁵³	admire and envy	v.	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1724.27	8.3.1.1.1	Like	0
11221	430022				mĕ²¹sa²¹	admire and envy	v.	1827	Atsi [Zaiwa]	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1724.30	8.3.1.1.1	Like	0
3229	405840				wɑn²khɑṁ²	admit		1822	Burmese (Written)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1196.26	8.5.14.2	Reveal or give information	0
5880	405841				wũ²²khɑ̃²²	admit		1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1196.27	8.5.14.2	Reveal or give information	0
7259	405842				jin⁵⁵	admit		1827	Atsi [Zaiwa]	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1196.30	8.5.14.2	Reveal or give information	0
12992	405844				ŋɔt⁵⁵	admit		1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1196.32	8.5.14.2	Reveal or give information	0
13529	405843				mə̆³¹xa³¹	admit		1828	Langsu (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1196.31	8.5.14.2	Reveal or give information	0
878	353654				tʂu⁵⁵kɯ³¹	adult	n	1825	Achang (Xiandao)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0168.29	4.2.11	Stages of growth	0
1108	353657				kɔ̱⁵⁵maʔ⁵⁵	adult	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0168.32	4.2.11	Stages of growth	0
2520	353653				tʂo⁵⁵kʐə³¹	adult	n	1824	Achang (Longchuan)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0168.28	4.2.11	Stages of growth	0
4197	353652				lu²²tɕi⁵⁵	adult	n	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0168.27	4.2.11	Stages of growth	0
7522	353655				ko̱²¹paŋ²¹	adult	n	1827	Atsi [Zaiwa]	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0168.30	4.2.11	Stages of growth	0
7816	353651	5632,m			lu²kri³	adult	n	1822	Burmese (Written)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0168.26	4.2.11	Stages of growth	0
9274	353656				ɣə³⁵mɔʔ⁵⁵	adult	n	1828	Langsu (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0168.31	4.2.11	Stages of growth	0
9448	353658				kji³³paŋ⁵⁵	adult	n	1830	Leqi (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0168.33	4.2.11	Stages of growth	0
1024	381030				kai⁵⁵ɣɔ̃³¹	advantage / benefit	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0700.32	8.1	Abstract Entities	0
2439	381026				tɕi⁵⁵ʐua⁵⁵	advantage / benefit	n	1824	Achang (Longchuan)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0700.28	8.1	Abstract Entities	0
4145	381025				kɑ̃u⁵⁵tɕo⁵⁵	advantage / benefit	n	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0700.27	8.1	Abstract Entities	0
7340	381028				kĕ⁵¹vaŋ²¹	advantage / benefit	n	1827	Atsi [Zaiwa]	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0700.30	8.1	Abstract Entities	0
7790	381024				kɔŋ³kjo³	advantage / benefit	n	1822	Burmese (Written)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0700.26	8.1	Abstract Entities	0
9443	381031				kjei³¹tʃaŋ³³	advantage / benefit	n	1830	Leqi (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0700.33	8.1	Abstract Entities	0
9716	381027				a³¹cɔ⁵⁵	advantage / benefit	n	1825	Achang (Xiandao)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0700.29	8.1	Abstract Entities	0
4023	402406				khĩ²²	affectionate / intimate		1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1121.27	8.3.1.1.1	Like	0
7196	402407	p,1381			a⁵⁵lu̱m²¹	affectionate / intimate		1827	Atsi [Zaiwa]	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1121.30	8.3.1.1.1	Like	0
13186	402405				khɑŋ²	affectionate / intimate		1822	Burmese (Written)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1121.26	8.3.1.1.1	Like	0
1948	413440				kjauʔ³¹	afraid, be	v.	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1366.32	7.1.1	Emotive	0
3733	413435				tɕɑuʔ⁴	afraid, be	v.	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1366.27	7.1.1	Emotive	0
4611	413441				kjuːk³¹	afraid, be	v.	1830	Leqi (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1366.33	7.1.1	Emotive	0
7498	413438				kjuʔ²¹	afraid, be	v.	1827	Atsi [Zaiwa]	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1366.30	7.1.1	Emotive	0
11362	413436				ʐoʔ⁵⁵	afraid, be	v.	1824	Achang (Longchuan)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1366.28	7.1.1	Emotive	0
11455	413437				ju⁵⁵	afraid, be	v.	1825	Achang (Xiandao)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1366.29	7.1.1	Emotive	0
11742	413434	2249			krɔk⁴	afraid, be	v.	1822	Burmese (Written)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1366.26	7.1.1	Emotive	0
12446	413439				kjauk³¹	afraid, be	v.	1828	Langsu (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1366.31	7.1.1	Emotive	0
